what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512141719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512144155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512145251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512152957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512163070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512165770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512229816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512232238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512246589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512248379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512286147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512289709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512463802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512467640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512480214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512481796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512533508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512538113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512540079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512542139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512788718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512792512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387512793264
